fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,68.11784338168376,111.11866717375057,1.1720531722322791,88.97931547619048
1,67,2025-11-14~2025-11-20,69.18191305753083,108.81210944911989,0.8604669207711101,54.945684523809526
2,74,2025-11-21~2025-11-27,58.029479688043054,96.4560322603043,0.7336146217304087,58.97886904761905
3,81,2025-11-28~2025-12-04,90.44185692638442,118.10495088170748,1.6066641972117846,136.62053571428572
4,88,2025-12-05~2025-12-11,81.4424754882348,122.62838657279906,1.2294628718433116,116.49925595238095
5,95,2025-12-12~2025-12-18,80.54496752285226,114.4534698481862,0.8967691264965149,130.00669642857142
6,102,2025-12-19~2025-12-25,114.04570184157824,170.46604681719683,0.6962334677990546,116.96428571428571
