feature,importance
hh_index,434
bnd_wind_forecast_boundary_jn,409
wind_actual_jn_dm1_same_hh,392
bnd_gas_plan_boundary_jb_rank,386
bnd_wind_forecast_boundary_jb_diff,360
da_same_hh,357
bnd_reserve_positive,351
bnd_wind_forecast_boundary_jn_diff,343
net_load,338
receive_actual_dm1_same_hh,334
bnd_wind_forecast_boundary_jb_rank,334
re_total,334
wind_actual_jb_dm1_same_hh,331
da_jn_nd_jn_same_hh,326
gas_actual_jn_dm1_same_hh,325
bnd_load_forecast_boundary,323
bnd_reserve_negative,319
re_penetration,315
da_rank,312
bnd_wind_forecast_boundary_jn_rank,312
p_jb_nd_jb_dm7_same_hh_diff,300
p_jn_jn_dm1_same_hh_diff,294
p_jn_jn_dm7_same_hh_diff,293
bnd_gas_plan_boundary_jn_rank,275
net_load_actual_dm1_same_hh,270
da_jb_nd_jb_same_hh,265
p_jb_nd_jb_dm2_same_hh_diff,256
da_jn_jn_same_hh,256
p_jb_jb_dm7_same_hh_diff,253
bnd_wind_forecast_boundary_jb,253
bnd_receive_plan_boundary_diff,252
bnd_gas_plan_boundary_jn,250
bnd_load_forecast_boundary_diff,250
da_diff,245
p_jn_jn_dm7_same_hh,241
load_actual_dm1_same_hh,239
bnd_pv_forecast_boundary_jb_diff,238
dm1_spread_jb_same_hh,233
pv_actual_jn_dm1_same_hh,231
net_load_rank,229
bnd_receive_plan_boundary,229
p_jb_nd_jb_dm7_same_hh,228
bnd_reserve_positive_diff,224
p_jb_jb_dm1_same_hh_diff,223
p_jn_nd_jn_dm1_same_hh_diff,217
gas_actual_jb_dm1_same_hh,216
bnd_receive_plan_boundary_rank,211
dm1_spread_jn_same_hh,209
p_jn_nd_jn_dm7_same_hh_diff,207
bnd_reserve_positive_rank,203
bnd_pv_forecast_boundary_jn_diff,198
p_jn_jn_dm2_same_hh_diff,197
pv_actual_jb_dm1_same_hh,196
p_jb_nd_jb_dm1_same_hh_diff,196
rt_jb_nd_jb_dm2_same_hh,194
p_jb_nd_jb_dm2_same_hh,190
rt_jn_jn_dm2_same_hh,179
bnd_load_forecast_boundary_rank,176
rt_jb_jb_dm2_same_hh,174
bnd_reserve_negative_diff,169
bnd_gas_plan_boundary_jb,167
rt_jn_nd_jn_dm2_same_hh,167
rt_jb_nd_jb_dm1_same_hh,165
p_jb_jb_dm2_same_hh_diff,164
p_jn_nd_jn_dm2_same_hh,162
p_jn_nd_jn_dm1_same_hh,161
p_jn_nd_jn_dm2_same_hh_diff,159
p_jn_jn_dm1_same_hh,156
rt_jb_jb_dm1_same_hh,150
p_jn_nd_jn_dm7_same_hh,148
bnd_reserve_negative_rank,146
p_jb_jb_dm7_same_hh,145
rt_jn_nd_jn_dm1_same_hh,143
bnd_gas_plan_boundary_jn_diff,135
rt_jn_jn_dm1_same_hh,133
p_jn_jn_dm2_same_hh,127
bnd_wind_forecast_boundary_jb_day_std,117
p_jb_jb_dm2_same_hh,116
re_fcst_err_dm1_std,115
p_jb_jb_dm1_same_hh,115
bnd_pv_forecast_boundary_jb,112
p_jn_nd_jn_3d_trend,102
p_jb_nd_jb_dm1_same_hh,99
da_day_mean,96
load_fcst_err_dm1_mean,92
bnd_pv_forecast_boundary_jn_rank,91
bnd_pv_forecast_boundary_jn,83
da_jn_jn_day_mean,81
p_jn_nd_jn_dm7_std,79
bnd_pv_forecast_boundary_jb_rank,78
bnd_gas_plan_boundary_jn_day_std,76
rt_target_3d_trend,76
p_jn_jn_3d_avg,74
bnd_reserve_positive_day_std,72
bnd_reserve_negative_day_mean,71
p_jb_jb_3d_trend,71
p_jb_nd_jb_3d_trend,71
bnd_gas_plan_boundary_jb_day_std,71
gas_actual_jb_dm1_std,70
bnd_receive_plan_boundary_day_mean,68
rt_jb_jb_dm2_std,68
rt_jb_nd_jb_dm2_std,67
p_jn_jn_dm7_std,66
dm1_spread_jn_mean,65
bnd_gas_plan_boundary_jn_day_mean,65
p_jn_jn_dm2_std,65
rt_jn_jn_dm2_std,60
dm1_spread_jb_abs_mean,60
wind_actual_jb_dm1_mean,60
bnd_wind_forecast_boundary_jb_day_mean,59
gas_actual_jn_dm1_mean,59
load_actual_dm1_mean,58
wind_actual_jn_dm1_mean,58
rt_jb_nd_jb_dm1_std,58
p_jn_jn_3d_trend,58
gas_actual_jb_dm1_mean,57
p_jn_jn_dm1_std,57
