fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_dayahead_mae
0,60,2025-11-07~2025-11-13,57.25733370272636,96.03368139252309,0.8422324579201218,63.01949404761905
1,67,2025-11-14~2025-11-20,55.507370306259205,90.77564993328116,0.6070935782317234,56.558035714285715
2,74,2025-11-21~2025-11-27,67.48195957332261,111.95183279763123,0.8480451521323576,68.98124999999999
3,81,2025-11-28~2025-12-04,79.94385572475527,115.0849196516971,0.8760547881621282,83.196875
4,88,2025-12-05~2025-12-11,97.8852437210601,149.4776472124699,0.4078009839887987,69.76532738095237
5,95,2025-12-12~2025-12-18,88.67534343392656,125.82323231178552,2.0206141040655092,64.27321428571429
6,102,2025-12-19~2025-12-25,88.78065952505736,134.92197562738886,1.1809740934900301,85.6327380952381
