fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae,A_solar_mae,B_evening_mae,C_night_mae
0,60,2025-11-07~2025-11-13,54.81884140690992,80.9194367140314,0.6665198461811985,71.55565476190476,102.91807640724996,28.042702053938108,47.380211889083355
1,67,2025-11-14~2025-11-20,57.003882116356635,73.62269776270605,0.6704543168538404,55.64895833333333,118.20593090975659,26.3571711060497,44.80002164856222
2,74,2025-11-21~2025-11-27,54.56675082912087,79.91586844520957,0.9461248287437956,59.4657738095238,134.1833784646181,19.183569971695196,35.10331893376307
3,81,2025-11-28~2025-12-04,76.235402999157,110.61999483958762,1.5184031659708535,108.06220238095239,132.43682407466483,27.72176787579288,81.32545845254361
4,88,2025-12-05~2025-12-11,83.4974736972588,131.77390450075674,2.1520794576601054,103.32857142857142,128.89670628759112,64.77827453001828,71.23329347685184
5,95,2025-12-12~2025-12-18,75.70695159178744,118.48917444609371,1.514145760155391,120.72232142857142,97.57802310117184,66.84273338267947,69.6756832534432
6,102,2025-12-19~2025-12-25,112.10171015458307,151.20135375925227,2.838191039431615,111.12351190476191,163.89707050663077,140.81932544504807,58.05040171098243
