fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae,B_evening_mae,AC_rest_mae
0,60,2025-11-07~2025-11-13,49.671382837259166,76.79293349292222,0.41393813210895186,71.55565476190476,17.442832406992466,65.78565805239252
1,67,2025-11-14~2025-11-20,72.75220430482369,104.19988200678529,0.6931757884514186,55.648958333333326,26.426452146710034,95.91508038388052
2,74,2025-11-21~2025-11-27,58.01730485655665,88.32788248793717,1.0544868630092583,59.4657738095238,19.024813793436692,77.51355038811663
3,81,2025-11-28~2025-12-04,71.55823017055742,101.38579634016224,1.1719795807070819,108.06220238095239,27.123516760107066,93.7755868757826
4,88,2025-12-05~2025-12-11,87.9797036195721,134.7856762103747,2.2400532794652928,103.32857142857142,69.24515424956716,97.34697830457458
5,95,2025-12-12~2025-12-18,78.61151196683936,121.20438811446893,1.5631650774467711,120.72232142857142,72.22791602352073,81.80330993849866
6,102,2025-12-19~2025-12-25,99.64568181856752,145.79511706363652,2.287749810714285,111.12351190476188,138.03486902989908,80.45108821290172
