fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,55.46666586968077,81.99700391477438,0.6958888317333396,71.55565476190475
1,67,2025-11-14~2025-11-20,67.68120711244903,96.4268705572474,0.8448281280149468,55.64895833333333
2,74,2025-11-21~2025-11-27,56.86268391093474,98.31493876957529,1.061432690695921,59.46577380952381
3,81,2025-11-28~2025-12-04,76.02568300184491,112.40634535439257,1.440294738434122,108.06220238095239
4,88,2025-12-05~2025-12-11,83.85363061223461,138.61169513248652,2.313607911001726,103.32857142857144
5,95,2025-12-12~2025-12-18,78.03939631746377,125.22506814650002,1.610220622125788,120.72232142857142
6,102,2025-12-19~2025-12-25,78.36564045308391,122.78219105737256,1.656704915895475,111.1235119047619
