fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,60.33488510788021,83.38743586406318,0.6946731334633359,71.55565476190475
1,67,2025-11-14~2025-11-20,68.76675370609912,99.80554150735155,0.8856153800934026,55.64895833333333
2,74,2025-11-21~2025-11-27,62.10896455445242,112.4036554548852,1.3218033460817527,59.46577380952381
3,81,2025-11-28~2025-12-04,66.66511361054006,112.3833673406406,1.5293879418088718,108.06220238095239
4,88,2025-12-05~2025-12-11,83.58514452545741,137.59878771171566,2.2948373360258865,103.32857142857144
5,95,2025-12-12~2025-12-18,74.1895238076982,122.13135312471353,1.5652633240328169,120.72232142857142
6,102,2025-12-19~2025-12-25,73.97706589200718,117.80463947715597,1.46802129744325,111.1235119047619
