fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,56.24034150843589,80.7683945970773,0.6684759156008572,71.55565476190475
1,67,2025-11-14~2025-11-20,67.68120711244903,96.4268705572474,0.8448281280149468,55.64895833333333
2,74,2025-11-21~2025-11-27,62.86980626835144,113.30882233151384,1.3308496431207106,59.46577380952381
3,81,2025-11-28~2025-12-04,64.5368815600176,105.62300201451507,1.4133761779913971,108.06220238095239
4,88,2025-12-05~2025-12-11,83.85363061223461,138.61169513248652,2.313607911001726,103.32857142857144
5,95,2025-12-12~2025-12-18,78.03939631746377,125.22506814650002,1.610220622125788,120.72232142857142
6,102,2025-12-19~2025-12-25,78.36564045308391,122.78219105737256,1.656704915895475,111.1235119047619
