fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,54.34073234080514,79.2619263475292,0.5239134247286236,71.55565476190475
1,67,2025-11-14~2025-11-20,66.0210442864731,94.41222350270058,0.8226375521862808,55.64895833333333
2,74,2025-11-21~2025-11-27,58.57399759689075,110.84536863612438,1.298645226921027,59.46577380952381
3,81,2025-11-28~2025-12-04,66.89349976012272,115.36867265319258,1.196660504911593,108.06220238095239
4,88,2025-12-05~2025-12-11,84.78785604072547,139.4176816839439,2.3148778163951826,103.32857142857144
5,95,2025-12-12~2025-12-18,82.88423230705196,123.983901292724,1.8736832159674268,120.72232142857142
6,102,2025-12-19~2025-12-25,77.60514517382069,124.01962698637557,1.6204771576234374,111.1235119047619
