fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_dayahead_mae
0,60,2025-11-07~2025-11-13,79.49704849282062,149.5371828875587,1.03859452547327,86.63541666666667
1,67,2025-11-14~2025-11-20,58.03388838568239,92.12498953515882,0.7916045351337498,68.3875
2,74,2025-11-21~2025-11-27,79.32460816905632,117.63571843709084,1.5315187873760003,99.23258928571428
3,81,2025-11-28~2025-12-04,96.31330819712197,130.0217108789918,1.9389795590501766,149.85193452380952
4,88,2025-12-05~2025-12-11,89.94203245136437,118.42278971108762,1.3912190040903847,131.15297619047618
5,95,2025-12-12~2025-12-18,96.32168216147778,113.47730542700201,1.1550537956972335,148.7800595238095
6,102,2025-12-19~2025-12-25,91.25903713237165,144.33625671766373,0.9583649278689459,130.98988095238096
