fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,70.69054445400113,115.72060863575804,1.2189852583711254,88.97931547619048
1,67,2025-11-14~2025-11-20,60.034724909291114,95.23263150633683,0.8384823928013393,54.945684523809526
2,74,2025-11-21~2025-11-27,57.27013589492418,96.31436428901074,0.7327817415998225,58.97886904761905
3,81,2025-11-28~2025-12-04,96.03978768086299,125.92080954197566,1.7896536275372692,136.62053571428572
4,88,2025-12-05~2025-12-11,96.00731265131067,137.49576034930143,1.2523397066927284,116.49925595238095
5,95,2025-12-12~2025-12-18,72.63468256979243,101.15934367203803,1.0910631581201582,130.00669642857142
6,102,2025-12-19~2025-12-25,102.36576334398693,142.7428564909976,1.3419126041276388,116.96428571428571
