fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_dayahead_mae
0,60,2025-11-07~2025-11-13,52.189452557160955,83.00492847810584,0.38448139586696906,72.89479166666668
1,67,2025-11-14~2025-11-20,94.9832583624988,127.52269618253467,0.9362176739714914,77.59330357142858
2,74,2025-11-21~2025-11-27,86.99504798348892,131.139457146096,1.2372641815302432,78.87529761904761
3,81,2025-11-28~2025-12-04,87.9988968921683,116.17379096471578,0.8918740320445087,102.953125
4,88,2025-12-05~2025-12-11,77.5905323927115,113.342899989619,0.913836902075092,100.92306547619049
5,95,2025-12-12~2025-12-18,90.9053704907105,135.01390271466067,2.239722951280439,122.97113095238096
6,102,2025-12-19~2025-12-25,127.17486148540272,149.4024870156306,3.1906416708328336,121.92589285714286
