fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_dayahead_mae
0,60,2025-11-07~2025-11-13,62.19412562478218,134.86024348844424,0.5147400800991714,60.31622023809524
1,67,2025-11-14~2025-11-20,48.80764963409805,78.18349478219868,0.43152992412755065,48.620982142857144
2,74,2025-11-21~2025-11-27,78.07768015082816,124.26741326294517,0.786690286603748,78.69151785714287
3,81,2025-11-28~2025-12-04,73.36191493942837,113.44685920233454,1.3513481038305548,80.77901785714286
4,88,2025-12-05~2025-12-11,74.03955580544884,119.29749791463757,0.7911294936191534,82.8328869047619
5,95,2025-12-12~2025-12-18,61.021199292723914,96.5443260322123,0.7095406478404415,75.284375
6,102,2025-12-19~2025-12-25,85.65891397211185,141.15968870329388,0.9897595173073602,104.26934523809524
