feature,importance
da_same_hh,255
da_jn_nd_jn_same_hh,203
hh_index,177
bnd_receive_plan_boundary,150
rt_jn_jn_dm1_same_hh,150
bnd_gas_plan_boundary_jb,121
bnd_gas_plan_boundary_jn,117
wind_actual_jb_dm1_same_hh,115
da_rank,104
pv_actual_jn_dm1_same_hh,103
da_jb_jb_same_hh,98
bnd_wind_forecast_boundary_jb_rank,90
p_jn_nd_jn_dm1_same_hh,88
p_jb_nd_jb_dm7_same_hh,86
p_jn_nd_jn_dm7_same_hh,86
receive_actual_dm1_same_hh,83
rt_jn_nd_jn_dm1_same_hh,83
bnd_load_forecast_boundary,81
bnd_gas_plan_boundary_jb_rank,81
bnd_reserve_positive,79
pv_actual_jb_dm1_same_hh,79
da_diff,77
wind_actual_jn_dm1_same_hh,76
dm1_spread_jn_same_hh,76
p_jn_jn_dm1_same_hh_diff,75
p_jn_jn_dm2_same_hh_diff,75
bnd_pv_forecast_boundary_jb_diff,75
da_day_mean,74
bnd_wind_forecast_boundary_jn_diff,74
bnd_wind_forecast_boundary_jb,73
bnd_wind_forecast_boundary_jb_diff,73
bnd_load_forecast_boundary_rank,73
gas_actual_jn_dm1_same_hh,72
bnd_wind_forecast_boundary_jn,72
load_actual_dm1_same_hh,71
bnd_wind_forecast_boundary_jn_rank,69
da_jb_nd_jb_same_hh,67
p_jn_jn_dm7_same_hh,66
bnd_gas_plan_boundary_jn_rank,66
p_jn_jn_dm1_same_hh,64
p_jn_nd_jn_dm7_same_hh_diff,63
p_jn_jn_dm7_same_hh_diff,63
re_total,63
p_jb_nd_jb_dm2_same_hh,63
bnd_receive_plan_boundary_rank,61
net_load,60
p_jb_nd_jb_dm7_same_hh_diff,59
rt_jb_nd_jb_dm1_same_hh,59
net_load_actual_dm1_same_hh,58
p_jn_nd_jn_dm2_same_hh,58
p_jb_nd_jb_dm1_same_hh_diff,57
bnd_wind_forecast_boundary_jb_day_std,56
p_jb_jb_dm7_std,56
gas_actual_jb_dm1_same_hh,56
rt_jb_jb_dm2_mean,55
p_jn_jn_dm2_same_hh,55
vol_7d_da_jn,54
rt_jb_nd_jb_dm2_same_hh,53
p_jb_nd_jb_3d_trend,53
rt_jb_nd_jb_dm1_std,52
rt_jn_jn_dm2_same_hh,52
p_jb_nd_jb_dm1_same_hh,52
p_jb_jb_dm7_same_hh_diff,51
net_load_rank,51
rt_jb_jb_dm1_same_hh,51
bnd_reserve_negative,49
bnd_gas_plan_boundary_jn_diff,48
dm1_spread_jn_std,47
p_jn_nd_jn_3d_trend,47
bnd_pv_forecast_boundary_jn_rank,46
p_jn_nd_jn_dm1_same_hh_diff,45
p_jb_jb_dm7_same_hh,43
re_penetration,43
p_jb_nd_jb_dm2_same_hh_diff,43
p_jn_nd_jn_dm2_same_hh_diff,43
bnd_pv_forecast_boundary_jb,43
dm1_spread_jb_std,42
rt_jn_nd_jn_dm2_same_hh,42
bnd_reserve_positive_rank,42
p_jb_nd_jb_dm2_std,42
dm1_spread_jb_same_hh,41
p_jb_nd_jb_dm7_std,41
p_jn_nd_jn_dm7_std,41
da_day_median,40
load_fcst_err_dm1_mean,40
re_fcst_err_dm1_std,39
p_jn_nd_jn_dm1_std,39
bnd_reserve_negative_rank,39
p_jb_nd_jb_dm1_max,38
gas_actual_jn_dm1_mean,38
re_fcst_err_dm1_mean,37
p_jb_jb_dm7_max,37
bnd_receive_plan_boundary_diff,37
bnd_gas_plan_boundary_jn_day_mean,36
bnd_pv_forecast_boundary_jb_rank,36
load_actual_dm1_std,35
bnd_reserve_positive_day_std,35
p_jn_jn_dm1_std,35
p_jb_jb_3d_trend,34
gas_actual_jb_dm1_mean,33
bnd_reserve_positive_day_mean,33
rt_jb_jb_dm2_floor_rate,33
p_jb_nd_jb_dm1_std,32
wind_actual_jn_dm1_std,32
rt_jb_jb_dm1_mean,31
p_jn_jn_dm1_mean,31
gas_actual_jb_dm1_std,31
rt_jn_jn_dm1_std,31
wind_actual_jb_dm1_std,30
bnd_reserve_negative_day_mean,30
p_jn_nd_jn_dm1_mean,30
p_jn_nd_jn_dm7_max,30
rt_jn_jn_dm2_std,30
rt_target_3d_trend,29
rt_jb_jb_dm1_std,29
bnd_pv_forecast_boundary_jn_diff,28
dm1_spread_jn_abs_mean,28
net_load_actual_dm1_min,28
rt_jb_jb_dm2_std,27
rt_jn_nd_jn_dm1_std,27
p_jb_nd_jb_dm7_min,26
rt_jn_jn_dm2_mean,26
p_jn_jn_dm7_std,26
dm1_spread_jb_mean,26
