fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_dayahead_mae
0,60,2025-11-07~2025-11-13,63.347335402057546,133.09155712094952,0.626462482936431,60.31622023809524
1,67,2025-11-14~2025-11-20,46.81346172186794,74.78244962392296,0.546653880699132,48.620982142857144
2,74,2025-11-21~2025-11-27,75.92904628885857,115.67396579863903,1.0162024260479159,78.69151785714287
3,81,2025-11-28~2025-12-04,74.33799675743637,116.2450723591296,1.3874597225367125,80.77901785714286
4,88,2025-12-05~2025-12-11,75.514542035294,109.67266661880451,0.9136610469168558,82.8328869047619
5,95,2025-12-12~2025-12-18,63.71899576424454,102.52589073904905,1.150786197348986,75.284375
6,102,2025-12-19~2025-12-25,92.53687074128257,143.06231659366128,1.4902652294787515,104.26934523809524
