fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_dayahead_mae
0,60,2025-11-07~2025-11-13,54.27096511034501,97.27488765106966,0.5718825314762773,79.46714285714285
1,67,2025-11-14~2025-11-20,50.38570110711023,79.61539562848202,0.6895313679725312,75.23958333333333
2,74,2025-11-21~2025-11-27,82.59419069229351,122.51987921311706,1.1266963586563155,109.38666666666666
3,81,2025-11-28~2025-12-04,66.68435121307714,102.99858660882748,1.0990906167285661,123.86416666666666
4,88,2025-12-05~2025-12-11,76.87267237465967,107.47513962125768,1.1174742744550996,133.55440476190478
5,95,2025-12-12~2025-12-18,93.6320437848577,124.14819482603326,1.9504972171840178,126.81892857142856
6,102,2025-12-19~2025-12-25,107.11878075977515,154.5726345655401,1.4457826874531838,119.74815476190477
