fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,53.68797452076685,79.4829333503645,0.5645344806010202,71.55565476190475
1,67,2025-11-14~2025-11-20,66.0210442864731,94.41222350270058,0.8226375521862808,55.64895833333333
2,74,2025-11-21~2025-11-27,55.845656745049624,97.53309322966186,1.0490358281035537,59.46577380952381
3,81,2025-11-28~2025-12-04,67.88803075446381,114.6502472439487,1.208927267428219,108.06220238095239
4,88,2025-12-05~2025-12-11,84.78785604072547,139.4176816839439,2.3148778163951826,103.32857142857144
5,95,2025-12-12~2025-12-18,81.4047292159059,122.98739761237427,1.8662707569168053,120.72232142857142
6,102,2025-12-19~2025-12-25,77.60514517382069,124.01962698637557,1.6204771576234374,111.1235119047619
