fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae,A_solar_mae,B_evening_mae,C_night_mae
0,60,2025-11-07~2025-11-13,66.88177240279106,101.12484034904408,1.0893340755429155,88.97931547619048,106.75635794524257,26.093005584370122,75.58803453205691
1,67,2025-11-14~2025-11-20,68.60071030321579,95.72861277138544,0.9580564335399705,54.94568452380952,126.88678320770491,39.74625373259727,56.71263181701714
2,74,2025-11-21~2025-11-27,55.967667244013285,85.80728407090562,0.7372125950621794,58.97886904761905,111.41030130550375,29.29123961270197,44.04322891216807
3,81,2025-11-28~2025-12-04,95.06309634468937,130.53660493699513,1.8105081369266827,136.6205357142857,127.73531238386506,57.614693978096106,105.41848861445858
4,88,2025-12-05~2025-12-11,108.9373827803064,145.60949114604747,2.245541817309192,116.49925595238096,126.43747340658207,94.948692708552,109.62828046194453
5,95,2025-12-12~2025-12-18,90.58933986275632,127.80454578192276,0.971737345624776,130.00669642857142,129.1489113152407,99.60720521228977,60.239304711638916
6,102,2025-12-19~2025-12-25,103.16576762208636,147.83145387822054,1.5285446538501155,116.96428571428572,130.89046183199193,124.09696708190287,69.78599152828981
