fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,52.63334511541765,79.97961390039433,0.5843236088274579,71.55565476190475
1,67,2025-11-14~2025-11-20,67.03734598413001,94.75389008307418,0.8136719147985618,55.64895833333333
2,74,2025-11-21~2025-11-27,55.349572245858226,95.0038603649299,0.9966924019441047,59.46577380952381
3,81,2025-11-28~2025-12-04,69.65399136621978,115.43889321940084,1.1907602339615913,108.06220238095239
4,88,2025-12-05~2025-12-11,84.96550449699612,138.38327294144906,2.298412907335885,103.32857142857144
5,95,2025-12-12~2025-12-18,78.5427195666527,118.69729870481585,1.8028516441622633,120.72232142857142
6,102,2025-12-19~2025-12-25,81.45337755713473,123.20410597143295,1.7860556846341678,111.1235119047619
