fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,67.31913570864634,108.55352923280573,1.169311718552824,88.97931547619048
1,67,2025-11-14~2025-11-20,62.72139622731885,100.67452169993646,0.911241384122805,54.945684523809526
2,74,2025-11-21~2025-11-27,68.45687196647593,111.10739700225359,1.0405425939656738,58.97886904761905
3,81,2025-11-28~2025-12-04,88.99360751276143,121.46334737862584,1.809630284959648,136.62053571428572
4,88,2025-12-05~2025-12-11,92.20473046789775,133.49855939300437,1.4053860266270166,116.49925595238095
5,95,2025-12-12~2025-12-18,86.60307453982983,120.78020405164385,1.477038538281643,130.00669642857142
6,102,2025-12-19~2025-12-25,104.27183784960937,139.23433021281693,1.4385710006568349,116.96428571428571
