fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,67.76627725274845,110.22228100889093,1.15823914302084,88.97931547619048
1,67,2025-11-14~2025-11-20,60.242931198177544,95.22524869528,0.8604046782804153,54.945684523809526
2,74,2025-11-21~2025-11-27,58.08777602229291,96.88722939303904,0.7410478909444642,58.97886904761905
3,81,2025-11-28~2025-12-04,94.13392135446104,127.67095519419668,1.8495436697746843,136.62053571428572
4,88,2025-12-05~2025-12-11,94.38078118425086,140.31093213732163,1.1924955328035842,116.49925595238095
5,95,2025-12-12~2025-12-18,72.50903942647031,104.31446269159748,0.9537189812635072,130.00669642857142
6,102,2025-12-19~2025-12-25,100.3107434800265,150.3125627164926,1.057194884580578,116.96428571428571
