fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,66.72063737874691,109.69067698624274,1.1752474999123546,88.97931547619048
1,67,2025-11-14~2025-11-20,61.60054545274389,97.69794842207833,0.8867828149351443,54.945684523809526
2,74,2025-11-21~2025-11-27,62.818209195760446,98.84943758396851,0.8669498538227335,58.97886904761905
3,81,2025-11-28~2025-12-04,89.54825448633736,128.4690383611906,1.8837184684037813,136.62053571428572
4,88,2025-12-05~2025-12-11,99.44606072245212,127.50041431518142,1.7735089380305764,116.49925595238095
5,95,2025-12-12~2025-12-18,72.43775224203497,96.4777426212863,1.0736222744072839,130.00669642857142
6,102,2025-12-19~2025-12-25,103.65093623128818,146.679352313544,1.2725323182717174,116.96428571428571
