feature,importance
rt_jb_jb_dm2_std,38
receive_actual_dm1_std,38
p_jn_jn_dm2_mean,38
gas_actual_jb_dm1_mean,37
rt_jb_nd_jb_dm1_min,37
p_jn_nd_jn_dm7_max,37
wind_actual_jb_dm1_mean,37
da_day_max,36
rt_jn_jn_dm1_max,36
p_jn_nd_jn_dm1_max,36
p_jb_nd_jb_dm7_min,36
pv_actual_jn_dm1_std,36
rt_jb_nd_jb_dm1_max,35
p_jn_nd_jn_dm1_min,34
p_jb_jb_dm1_max,34
net_load_day_std,34
rt_jb_nd_jb_dm1_mean,34
p_jn_nd_jn_dm2_mean,34
bnd_pv_forecast_boundary_jb_day_std,33
p_jn_nd_jn_3d_avg,33
rt_jn_jn_dm1_spike_rate,33
da_day_range,33
p_jn_nd_jn_dm7_min,33
p_jb_nd_jb_dm2_mean,32
rt_jn_jn_dm1_min,32
dow,32
p_jb_jb_dm2_max,31
rt_jn_jn_dm1_mean,31
bnd_receive_plan_boundary_day_std,31
rt_jn_nd_jn_dm1_max,30
wind_actual_jb_dm1_std,30
dm1_spread_jn_std,30
bnd_reserve_negative_day_std,29
rt_jb_jb_dm2_max,29
p_jn_nd_jn_dm2_std,29
p_jn_jn_dm7_max,28
pv_actual_jb_dm1_std,28
rt_target_3d_avg,27
p_jn_jn_dm1_max,27
p_jn_nd_jn_dm2_max,27
bnd_pv_forecast_boundary_jn_day_std,26
p_jn_nd_jn_dm1_mean,26
rt_jb_jb_dm1_max,25
p_jn_jn_dm1_min,24
p_jb_jb_dm7_max,23
re_penetration_actual_dm1,23
p_jb_jb_3d_avg,22
p_jn_jn_dm7_min,21
rt_jn_nd_jn_dm2_min,21
net_load_actual_dm1_min,21
rt_jb_jb_dm1_mean,21
p_jn_jn_dm2_max,20
net_load_day_mean,20
rt_jn_nd_jn_dm2_mean,18
rt_jb_jb_dm2_spike_rate,17
rt_jn_jn_dm2_mean,17
rt_jn_nd_jn_dm1_mean,16
hh_rt_target_floor_rate_7d,16
rt_jb_jb_dm1_min,16
hh_da_floor_rate_7d,15
rt_jb_jb_dm2_min,15
rt_jn_jn_dm2_spike_rate,15
p_jn_jn_dm2_min,15
rt_jn_nd_jn_dm1_floor_rate,14
rt_jn_jn_dm2_max,14
bnd_gas_plan_boundary_jb_diff,13
rt_jb_jb_dm1_floor_rate,13
p_jb_nd_jb_3d_avg,12
rt_jn_jn_dm2_min,12
rt_jn_jn_dm2_floor_rate,12
dm1_da_spike_rate,11
p_jb_jb_dm7_min,11
da_day_min,10
rt_jn_nd_jn_dm1_min,10
hh_rt_jn_floor_rate_7d,10
rt_jn_jn_dm1_floor_rate,9
p_jb_jb_dm2_min,9
rt_jn_nd_jn_dm2_spike_rate,8
dm1_da_floor_rate,8
rt_jb_nd_jb_dm1_floor_rate,8
rt_jn_nd_jn_dm2_floor_rate,7
hh_rt_jb_floor_rate_7d,7
rt_jb_jb_dm1_spike_rate,6
dm1_rt_floor_rate,5
p_jb_jb_dm1_min,5
da_spike_rate,5
month,5
rt_jb_jb_dm2_floor_rate,5
rt_jb_nd_jb_dm2_floor_rate,5
dm1_rt_spike_rate,4
rt_jn_nd_jn_dm1_spike_rate,4
rt_jb_nd_jb_dm1_spike_rate,4
dm1_rt_floor_count,4
is_weekend,3
rt_jb_nd_jb_dm2_spike_rate,3
