path,filename,ext,phase,region,data_type,data_name,date_in_filename
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-18.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-18
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-24.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-24
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-30.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-30
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-09.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-09
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-26.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-26
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-23.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-23
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-21.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-21
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-11.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-11
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-05.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-05
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-28.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-28
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-14.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-14
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-14.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-14
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-28.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-28
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-18.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-18
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-30.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-30
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-24.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-24
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-02.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-02
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-16.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-16
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-13.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-13
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-07.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-07
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-02.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-02
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-16.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-16
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-23.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-23
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-27.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-27
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-12.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-12
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-06.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-06
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-12.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-12
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-06.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-06
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-03.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-03
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-17.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-17
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-08.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-08
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-20.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-20
