fold,train_days,test_date_range,model_mae,model_rmse,model_mape,naive_mae
0,60,2025-11-07~2025-11-13,53.87677445228052,86.95192844362724,0.8008730425792153,71.55565476190475
1,67,2025-11-14~2025-11-20,74.27433887932511,112.26585480025439,0.6723160989588748,55.64895833333333
2,74,2025-11-21~2025-11-27,68.3550099067292,110.0990991914539,1.262609388667,59.46577380952381
3,81,2025-11-28~2025-12-04,71.18983988408004,107.92935945899671,1.0813466670061598,108.06220238095239
4,88,2025-12-05~2025-12-11,88.34584097491418,143.6705437682572,2.3300612464521597,103.32857142857144
5,95,2025-12-12~2025-12-18,86.41321541237546,130.80816990685446,1.8690643434503051,120.72232142857142
6,102,2025-12-19~2025-12-25,77.79690587273272,119.91236746737337,1.5512792894747065,111.1235119047619
